"clues","entresidencia","munresidencia","sum"
"VZSSA010212",30,97,2
"TSSSA002443",28,37,5
"VZSSA003361",23,3,1
"ZSSSA012450",11,15,4
"DFSSA003961",15,112,3
"NLSSA003911",19,9,10
"JCSSA007042",14,2,17
"ZSSSA012450",24,19,3
"VZSSA010212",30,75,13
"OCSSA020100",30,77,3
"JCSSA013815",25,6,6
"MNSSA001874",16,3,16
"GTSSA002101",11,35,18
"GTSSA017414",16,34,8
"CSSSA000453",30,39,9
"JCSSA006890",14,63,3
"DFSSA003372",20,999,1
"MCSSA010222",10,18,1
"VZSSA004860",30,135,1134
"PLSSA016543",21,53,10
"JCSSA001326",11,17,1
"OCSSA000985",15,55,1
"JCSSA007042",14,46,11
"DFSSA003710",17,17,3
"MNSSA016533",16,66,4
"DFSSA001511",9,4,14
"MSSSA000080",21,3,11
"ZSSSA002141",14,42,1
"JCSSA007042",14,62,3
"PLSSA016811",21,20,3
"MCSSA018750",1,9,1
"VZSSA006313",19,12,1
"OCSSA001463",20,236,1
"VZSSA006313",30,26,1
"SRSSA001851",16,53,7
"MCSSA000236",15,999,3291
"OCSSA020684",20,467,1
"DFSSA001511",9,7,84565
"CSSSA002611",7,37,7
"MNSSA001874",16,92,3
"OCSSA020030",9,2,4
"PLSSA005734",30,44,6
"PLSSA005693",30,142,1
"JCSSA013692",16,76,2
"MCSSA000224",21,114,1
"MSSSA000454",20,77,1
"SLSSA018113",13,15,1
"PLSSA008425",21,63,1
"YNSSA013440",23,3,18
"OCSSA020100",20,309,10
"DFSSA003705",15,22,1
"SRSSA001851",8,45,1
"DFSSA003944",29,33,1
"TLSSA017645",29,25,446
"SPSSA000356",20,13,1
"GTSSA017414",15,12,1
"MSSSA002385",15,85,3
"TCSSA001040",29,26,1
"TSSSA018000",8,19,1
"MCSSA018680",15,81,3
"DGSSA000191",19,5,1
"OCSSA001463",20,209,1
"PLSSA003552",21,20,6
"MNSSA002446",1,1,3
"GTSSA016796",11,32,63
"DFSSA000852",9,2,8
"PLSSA004503",7,7,1
"MCSSA010251",30,999,2
"DFSSA003961",12,23,1
"SPSSA000752",19,6,1
"JCSSA000894",16,88,1
"GTSSA016842",11,4,1
"GRSSA004753",9,12,2
"VZSSA001355",16,102,1
"MCSSA007265",15,120,9
"OCSSA004152",21,72,1
"OCSSA018922",20,241,1
"JCSSA007066",11,9,1
"GTSSA016796",16,53,2
"VZSSA006313",30,62,1
"MNSSA003735",11,999,1
"HGSSA015561",11,27,2
"DFSSA004142",24,999,1
"YNSSA013440",99,99,34
"MCSSA007265",14,109,1
"CLSSA002710",10,7,1
"PLSSA001575",21,25,5
"PLSSA003260",27,4,1
"MCSSA018750",11,999,1
"GRSSA005762",12,38,1
"CSSSA018764",7,74,3
"PLSSA008263",21,187,2
"OCSSA000524",12,4,1
"TLSSA017645",15,57,2
"SRSSA001851",7,51,1
"OCSSA002146",20,181,6
"GTSSA016796",16,61,3
"NTSSA000474",20,67,1
"JCSSA005584",14,45,1
"JCSSA003986",14,39,2
"SLSSA001255",25,11,87321
"MNSSA016533",22,6,1
"PLSSA008572",7,999,1
"JCSSA007066",23,8,2
"DFSSA000053",15,20,5
"MSSSA000454",12,58,31
"GTSSA016912",15,999,5
"VZSSA007701",20,452,1
"MSSSA000355",21,76,5
"DFSSA003956",9,10,99
"SPSSA000752",4,999,1
"SLSSA000963",27,27,2
"YNSSA000570",31,98,11
"PLSSA016806",13,48,1
"GRSSA002863",12,66,1
"SLSSA000473",2,4,4
"VZSSA004032",21,217,1
"MNSSA016492",16,50,39
"DFSSA003162",15,13,15
"MSSSA002344",12,58,1
"HGSSA015520",13,27,7
"MNSSA002142",12,16,20
"GTSSA017414",1,1,4
"DFSSA003944",15,12,35
"TSSSA002431",30,153,2
"DFSSA002993",9,10,12
"MNSSA016516",16,47,1
"VZSSA015661",30,162,13
"JCSSA006890",25,12,1
"VZSSA001150",20,999,8
"MNSSA004044",16,16,15053
"JCSSA002113",14,11,1
"VZSSA015545",30,58,2
"DFSSA003162",8,8,2
"DFSSA003956",9,15,4
"OCSSA020100",20,44,3
"OCSSA019844",12,44,1
"JCSSA003250",21,211,2
"ZSSSA000152",15,97,1
"PLSSA005331",30,30,3
"NTSSA000800",18,16,802
"GRSSA001550",12,46,1
"MCSSA014101",9,2,2
"TCSSA000014",12,12,1
"JCSSA007066",2,4,42
"JCSSA003986",14,62,1
"GTSSA016912",5,24,1
"GTSSA017501",9,999,4
"CSSSA000045",7,98,196
"HGSSA015520",15,999,16
"CSSSA017504",7,19,1
"DGSSA017662",10,39,9
"PLSSA015551",25,1,1
"CSSSA018752",7,78,1
"GTSSA017431",11,2,1
"PLSSA000863",21,999,15912
"VZSSA015801",30,146,2
"SPSSA017313",24,54,11
"BCSSA000855",2,4,3649
"DFSSA018154",9,8,18
"MCSSA010280",14,15,1
"ZSSSA000695",24,24,4
"DFSSA003162",15,93,1
"ZSSSA001395",32,45,2
"TLSSA017831",22,5,4
"MCSSA014101",15,118,3
"GTSSA003081",11,18,1
"CHSSA002455",8,52,7928
"TSSSA002810",28,4,25
"DFSSA001296",15,70,3
"ASSSA000054",22,5,1
"DFSSA003722",27,5,2
"PLSSA000081",21,83,1
"SLSSA000024",26,36,1
"ZSSSA002141",1,999,1
"PLSSA005331",21,198,2
"PLSSA000513",30,183,1
"OCSSA021256",9,999,23
"MSSSA002361",28,28,1
"DFSSA002660",9,12,4032
"DFSSA002993",9,9,27561
"QTSSA001052",25,2,1
"OCSSA005383",20,168,67
"TSSSA018514",28,2,416
"SLSSA000666",2,5,3
"PLSSA008881",21,74,19
"VZSSA007725",21,110,3
"YNSSA000570",31,42,4
"MCSSA007253",15,33,152
"HGSSA015520",30,131,1
"CHSSA018514",8,50,1
"QTSSA001740",20,14,15
"TCSSA000306",27,10,6
"VZSSA001355",30,113,12
"VZSSA002970",8,8,2
"SPSSA017313",99,999,7
"VZSSA003880",30,128,3
"MCSSA001636",15,107,5
"DGSSA001895",10,37,65
"CHSSA001603",8,33,6
"HGSSA015515",29,39,1
"JCSSA001326",16,103,1
"CSSSA005773",7,49,20
"MSSSA002385",12,35,3
"VZSSA004744",30,3,1
"ZSSSA012450",1,4,1
"HGSSA001795",13,30,7
"SPSSA017313",24,41,5
"CSSSA000453",7,78,15
"MSSSA002740",15,14,6
